serialNo,Supplier_NO.,OEM_NO.,Benchmark_NO.,car_brand,car_model,model_name_th,nickname,item_name,fitment_detail,brand,item_group,stock_uom
DD-0000081,D13MZ3F,BP4L 34 380,,MAZDA,MAZDA3,มาสด้า3,โฉมปี 2005-2010 (BK),เบ้าโช้คอัพ/ยางเบ้าโช้คอัพ,หน้า,RBI,เทียบแท้เกรด B,ชิ้น
AC-0000094,DF7490S,435120K120,,TOYOTA,HILUX VIGO,ไฮลักซ์ วีโก้,"โฉมปี 2003-2016 (Vigo 2WD, 4WD, Pre-Runner ยกสูง)",จานดิสเบรค,หน้า,TRW,เทียบแท้เกรด A,ชิ้น
AF-0000050,4479-0D020_TOYO,4479-0D020,,TOYOTA,VIOS,วีออส,"โฉมปี 2002-2007 (NCP40, 42)",ชุดซ่อมดิสเบรค,หน้า,TOYO,เทียบแท้เกรด A,ชิ้น
FC-0000009,HAT030-20G1,13540-0L010,,TOYOTA,HILUX VIGO,ไฮลักซ์ วีโก้,"โฉมปี 2003-2016 (Vigo 2WD, 4WD, Pre-Runner ยกสูง)",ไฮดรอลิคดันสายพาน,,NTN,เทียบแท้เกรด A,ชิ้น
DH-0400195,T24VG2WB," 48655-0K010 , 48655-0K020",,TOYOTA,HILUX VIGO,ไฮลักซ์ วีโก้,"โฉมปี 2003-2016 (Vigo 2WD, 4WD, Pre-Runner ยกสูง)",บู๊ชปีกนก,ล่าง,RBI,เทียบแท้เกรด B,ชิ้น
DH-0400196,T24VG2WS," 48654-0K010 , 48654-0K020",,TOYOTA,HILUX VIGO,ไฮลักซ์ วีโก้,"โฉมปี 2003-2016 (Vigo 2WD, 4WD, Pre-Runner ยกสูง)",บู๊ชปีกนก,ล่าง,RBI,เทียบแท้เกรด B,ชิ้น
DH-0400226,T24VG02P," 48632-0K010 , 48632-0K020",,TOYOTA,HILUX VIGO,ไฮลักซ์ วีโก้,"โฉมปี 2003-2016 (Vigo 2WD, 4WD, Pre-Runner ยกสูง)",บู๊ชปีกนก,บน,RBI,เทียบแท้เกรด B,ชิ้น
AC-0000044,DF7251S,435120K060,,TOYOTA,HILUX VIGO,ไฮลักซ์ วีโก้,"โฉมปี 2003-2016 (Vigo 2WD, 4WD, Pre-Runner ยกสูง)",จานดิสเบรค,หน้า,TRW,เทียบแท้เกรด A,ชิ้น
DJ-0200046,T18NC93Z,45535-09300,,TOYOTA,YARIS,ยาริส,โฉมปี 2006-2013 (NCP90),ยางกันฝุ่นแร็ค,,RBI,เทียบแท้เกรด B,ชิ้น
DH-0400183,T24NC93WB,48655-0D051,,TOYOTA,YARIS,ยาริส,โฉมปี 2006-2013 (NCP90),บู๊ชปีกนก,ล่าง,RBI,เทียบแท้เกรด B,ชิ้น
BC-0000009,099700-243040,90919-02234,,TOYOTA,CAMRY,คัมรี่,โฉมปี 2002-2006 (ACV30),คอยล์หัวเทียน,,DENSO,เทียบแท้เกรด A,ชิ้น
AC-0000038,DF7490S,435120K120,,TOYOTA,HILUX REVO,ไฮลักซ์ รีโว่,"โฉมปี 2016-2018 (Revo, 4WD, Pre-Runner ยกสูง)",จานดิสเบรค,หน้า,TRW,เทียบแท้เกรด A,ชิ้น
DM-0000001,O21206F,51306-SNA-A02,,HONDA,CIVIC,ซีวิค,โฉมปี 2006-2012 (FD),ยางปะกับกันโคลง,หน้า,RBI,เทียบแท้เกรด B,ชิ้น
IC-0000016,C-TTO01,15600-41010,,TOYOTA,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000017,C-TTO01A,15600-41010A,,TOYOTA,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000018,C-TTO02,90915-YZZC5,,TOYOTA,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000019,C-TTO02A,90915-YZZC5A,,TOYOTA,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000020,C-TTO03,15601-33021,,TOYOTA,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000021,C-TTO06,15600-25010,,TOYOTA,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000022,C-TTO07,90915-30002,,TOYOTA,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000023,C-TTO02,90915-YZZC5,,TOYOTA,COROLLA,โคโรล่า,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000024,C-TTO02,90915-YZZC5,,TOYOTA,RAV4,ราฟ4,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000025,C-TTO14,04152-31090,,TOYOTA,RAV4,ราฟ4,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000026,C-TTO15,04152-31090,,TOYOTA,RAV4,ราฟ4,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000027,C-TTO04,90915-30001,,TOYOTA,Liteace,ไลเอท,"โฉมปี 1996-2007 (R40 , R50)",ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000028,C-TTO05,90915-YZZE2,,TOYOTA,CAMRY,คัมรี่,"โฉมปี 2006-2011 (ACV40, HYBRID)",ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000030,C-TTO05,90915-YZZE2,,TOYOTA,WISH,วิช,โฉมปี 2003-2010 (ANE10),ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000031,C-TTO05,90915-YZZE2,,TOYOTA,YARIS,ยาริส,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000032,C-TTO06A,90915-TD003A,,TOYOTA,HILUX MIGHTY-X,ไฮลักซ์ ไมตี้-เอ็กซ์,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000033,C-TTO09,90915-TB001,,TOYOTA,HILUX VIGO,ไฮลักซ์ วีโก้,"โฉมปี 2003-2016 (Vigo 2WD, 4WD, Pre-Runner ยกสูง)",ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000034,C-TTO09A,90915-TB002A,,TOYOTA,COMMUTER,คอมมิวเตอร์,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000035,C-TTO10,90915-20003,,TOYOTA,COMMUTER,คอมมิวเตอร์,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000036,C-TTO12,04152-31080,,TOYOTA,COMMUTER,คอมมิวเตอร์,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000037,C-TTO13,04152-31080,,TOYOTA,COMMUTER,คอมมิวเตอร์,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000038,C-TTO11,04152-37010,,TOYOTA,COROLLA ALTIS,โคโรล่า อัลติส,โฉมปี 2008-2012 (ZZE141),ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000039,C-TTO11A,04152-37010,,TOYOTA,COROLLA ALTIS,โคโรล่า อัลติส,โฉมปี 2008-2012 (ZZE141),ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000040,C-NSO01,15208-W1120B,,NISSAN,BIG-M,บิ๊ก-เอ็ม,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000041,C-NSO01A,15208-W1120A,,NISSAN,BIG-M,บิ๊ก-เอ็ม,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000042,C-NSO07,15208-W1111B,,NISSAN,BIG-M,บิ๊ก-เอ็ม,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000043,C-NSO02,15208-H8920B,,NISSAN,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000044,C-NSO04,15208-20N10,,NISSAN,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000045,C-NSO08,15274-99289,,NISSAN,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000046,C-NSO08M,15274-90226,,NISSAN,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000047,C-NSO09,15274-90225,,NISSAN,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000048,C-NSO10,15274-99385,,NISSAN,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000049,C-NSO11,15274-99025,,NISSAN,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000050,C-NSO12,15209-76200,,NISSAN,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000051,C-NSO13,15209-Y7502,,NISSAN,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000052,C-NSO15,15208-Z9007L,,NISSAN,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000053,C-NSO18,15208-H1010,,NISSAN,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000054,C-NSO03,15208-H8911B,,NISSAN,SUNNY,ซันนี่,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000055,C-NSO05,15208-53J00,,NISSAN,NV,เอ็นวี,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000056,C-NSO06,15208-31U00,,NISSAN,CEFIRO,เซฟิโร่,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000057,C-NSO14,15208-2W200,,NISSAN,FRONTIER,ฟรอนเทียร์,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000058,C-NSO20,15208-AD200,,NISSAN,FRONTIER,ฟรอนเทียร์,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000059,C-NSO16,15208-65F00,,NISSAN,SUNNY,ซันนี่,โฉมปี 2001-2006 (NEO),ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000060,C-NSO22,15208-YM600,,NISSAN,SUNNY,ซันนี่,โฉมปี 2001-2006 (NEO),ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000061,C-NSO17,15208-65002B,,NISSAN,BLUEBIRD,บูลเบิร์ด,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000062,C-NSO21,15208-BN30A,,NISSAN,NAVARA,นาวาร่า,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000063,C-NSO22,15208-YM600,,NISSAN,NAVARA,นาวาร่า,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000064,C-NSO22,15208-YM600,,NISSAN,TIIDA,ทีด้า,โฉมปี 2006-2012 (C11),ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000065,C-ISO01,8-94338-933-0,,ISUZU,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000066,C-ISO01A,8943389330A,,ISUZU,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000067,C-ISO02,9-88511-194-2,,ISUZU,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000068,C-ISO03,1-87810-075-2,,ISUZU,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000069,C-ISO04,8-94463-713-1,,ISUZU,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000070,C-ISO05,8-94340-259-1,,ISUZU,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000071,C-ISO06,1-87810-075-2,,ISUZU,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000072,C-ISO07,8-94396-75-4,,ISUZU,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000073,C-ISO08,8-97096-777-0,,ISUZU,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000074,C-ISO10,1-13240-122-0,,ISUZU,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000075,C-ISO11,1-13240-123-0,,ISUZU,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000076,C-ISO12,1-13240-163-0,,ISUZU,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000077,C-ISO12G,1-13240-163-2,,ISUZU,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000078,C-ISO13,8-97049-708-1,,ISUZU,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000079,C-ISO14,8-94360-427-1,,ISUZU,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000080,C-ISO14B,8-94456-741-0,,ISUZU,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000081,C-ISO15,9-88511-161-0,,ISUZU,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000082,C-ISO16,9-88513-107-1,,ISUZU,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000083,C-ISO16M,9-88513-107-1,,ISUZU,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000084,C-ISO17,1-87810-239-0,,ISUZU,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000085,C-ISO18,8-94217-272-2,,ISUZU,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000086,C-ISO19,1-87810-246-0,,ISUZU,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000087,C-ISO19M,1-87810-246-0,,ISUZU,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000088,C-ISO20,8-97131-259-1,,ISUZU,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000089,C-ISO21,9-88511-194-2,,ISUZU,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000090,C-ISO22,9-88511-161-0,,ISUZU,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000091,C-ISO24,1-13240-056-0,,ISUZU,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000092,C-ISO25,1-87810-314-2,,ISUZU,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000093,C-ISO26,8-94321-219-1,,ISUZU,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000094,C-ISO27,8-94321-219-0,,ISUZU,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000095,C-ISO28,8-94201-942-0,,ISUZU,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000096,C-ISO29,1-87810-056-0,,ISUZU,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000097,C-ISO30,9-88513-264-1,,ISUZU,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000098,C-ISO30M,9-88513-264-1,,ISUZU,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000099,C-ISO31,9-88513-265-3,,ISUZU,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000100,C-ISO31A,9-88513-265-3,,ISUZU,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000101,C-SIO33,8-97371-334-0,,ISUZU,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000102,C-SIO34,8-94391-049-0,,ISUZU,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000103,C-SIO35,1-13240-234-0,,ISUZU,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000104,C-SIO37,1-87810-356-2,,ISUZU,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000105,C-SIO38,1-13240-198-0,,ISUZU,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000106,C-SIO39,8-98018-858-0,,ISUZU,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000107,C-SIO41,1-13240-233-0,,ISUZU,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000108,C-SIO42,1-13240-037-0,,ISUZU,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000109,C-ISO09,8-97309-927-0,,ISUZU,D-MAX,ดี-แม็กซ์,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000110,C-ISO32,8-97358-720-0,,ISUZU,D-MAX,ดี-แม็กซ์,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000111,C-SIO43,8-98165071-0,,ISUZU,D-MAX,ดี-แม็กซ์,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000112,C-MSO01,MD-069782,,MITSUBISHI,CYCLONE,ไซโคลน,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000113,C-MSO17,MD-069782,,MITSUBISHI,CYCLONE,ไซโคลน,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000114,C-MSO02,MD-031805T,,MITSUBISHI,LANCER,แลนเซอร์,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000115,C-MSO03,MD-15737,,MITSUBISHI,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000116,C-MSO04,MD-326489T,,MITSUBISHI,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000117,C-MSO05,ME-201871T,,MITSUBISHI,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000118,C-MSO06,ME-013661,,MITSUBISHI,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000119,C-MSO07,ME-034611,,MITSUBISHI,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000120,C-MSO08,MD-31440-12030,,MITSUBISHI,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000121,C-MSO09,MD-31340-12020,,MITSUBISHI,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000122,C-MSO10,MD-014833,,MITSUBISHI,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000123,C-MSO11,ME-064356,,MITSUBISHI,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000124,C-MSO12,ME-074013,,MITSUBISHI,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000125,C-MSO12B,ME-074013B,,MITSUBISHI,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000126,C-MSO13,ME-014838,,MITSUBISHI,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000127,C-MSO14,ME-088519,,MITSUBISHI,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000128,C-MSO15,ME-088532,,MITSUBISHI,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000129,C-MSO16,ME-021254,,MITSUBISHI,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000130,C-MSO16A,ME-021254,,MITSUBISHI,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000131,C-MSO018,ME-202472,,MITSUBISHI,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000132,C-MSO20,ME-180514,,MITSUBISHI,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000133,C-MSO19,MD-136466,,MITSUBISHI,SPACE WAGON,สเปซวากอน,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000134,C-HNO01,15607-1521G,,HINO,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000135,C-HNO02,15607-1390,,HINO,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000136,C-HNO03,15607-1351,,HINO,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000137,C-HNO03A,15607-1351,,HINO,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000138,C-HNO04,15607-1521G,,HINO,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000139,C-HNO05,15607-1580,,HINO,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000140,C-HNO06,15607-1671,,HINO,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000141,C-HNO07,15607-2050,,HINO,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000142,C-HNO08,15607-1381,,HINO,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000143,C-HNO09,15607-1421,,HINO,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000144,C-HNO10,15607-1733,,HINO,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000145,C-HNO11,15607-1011,,HINO,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000146,C-HNO12,15607-1780,,HINO,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000147,C-HNO13,15607-1080,,HINO,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000148,C-HNO14,15607-1431,,HINO,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000149,C-HNO15,15607-1330,,HINO,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000150,C-HNO16,15607-1562,,HINO,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000151,C-HNO17,15607-1840,,HINO,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000152,C-HNO18,15607-1562-1,,HINO,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000153,C-HNO19,04015-6013,,HINO,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000154,C-HNO20,15607-2210,,HINO,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000155,C-HNO21,15607-1690,,HINO,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000156,C-HNO22,15607-2190,,HINO,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000157,C-HNO25,15607-1734,,HINO,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000158,C-HNO26,15607-2320,,HINO,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000159,C-HNO27,S15607-2270,,HINO,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000160,C-HNO28,S1560-72380,,HINO,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000161,C-HNO29,S1560-72370,,HINO,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000162,C-HNO30,1560-72200,,HINO,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000163,C-HNO31,S1560-72330,,HINO,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
IC-0000164,C-HNO32,15607-2060,,HINO,,,,ไส้กรองน้ำมันเครื่อง,,CORNER,เทียบแท้เกรด B,ชิ้น
